strategy,trades,win_rate,total_pnl_pts,total_pnl_twd,avg_pnl_pts,max_dd_pts,profit_factor,long_trades,short_trades,gap_r,sl,tp_m
gap0.5_sl60_tp1.6,596,0.3221476510067114,397.0799999999981,79415.99999999962,0.6662416107382518,-2452.5999999999985,1.016700874831763,333,263,0.5,60,1.6
gap0.7_sl60_tp1.6,478,0.3179916317991632,-184.20000000000073,-36840.000000000146,-0.38535564853556636,-1846.5999999999985,0.9903917375202128,267,211,0.7,60,1.6
gap0.5_sl40_tp1.6,596,0.2483221476510067,-278.2400000000016,-55648.00000000032,-0.4668456375838953,-1693.6800000000003,0.9849225100249268,333,263,0.5,40,1.6
gap0.35_sl60_tp1.6,675,0.31703703703703706,-709.2400000000016,-141848.00000000032,-1.0507259259259283,-2939.5999999999985,0.9738875593682117,368,307,0.35,60,1.6
gap0.5_sl60_tp1.2,596,0.3221476510067114,-711.4599999999991,-142291.99999999983,-1.1937248322147636,-2643.579999999998,0.9700765477792732,333,263,0.5,60,1.2
gap0.5_sl40_tp1.2,596,0.2483221476510067,-712.4400000000023,-142488.00000000047,-1.1953691275167824,-1601.0,0.9613937357754415,333,263,0.5,40,1.2
gap0.7_sl60_tp1.2,478,0.3179916317991632,-903.6400000000012,-180728.00000000023,-1.8904602510460278,-2157.0999999999985,0.9528642220019822,267,211,0.7,60,1.2
gap0.35_sl40_tp1.6,675,0.24444444444444444,-1076.5600000000013,-215312.00000000026,-1.5949037037037057,-2146.6800000000003,0.948859436606337,368,307,0.35,40,1.6
gap0.7_sl40_tp1.6,478,0.2384937238493724,-1106.4000000000015,-221280.0000000003,-2.3146443514644384,-1614.4000000000015,0.9261760192166544,267,211,0.7,40,1.6
gap0.7_sl40_tp1.2,478,0.2384937238493724,-1250.4200000000037,-250084.00000000076,-2.61594142259415,-1743.5600000000013,0.9165663575098416,267,211,0.7,40,1.2
gap0.35_sl40_tp1.2,675,0.24444444444444444,-1628.4600000000046,-325692.00000000093,-2.4125333333333403,-2311.760000000002,0.9226421547669942,368,307,0.35,40,1.2
gap0.5_sl40_tp0.8,596,0.2533557046979866,-1902.1600000000035,-380432.0000000007,-3.1915436241610795,-2629.520000000004,0.8967003367003366,333,263,0.5,40,0.8
gap0.7_sl40_tp0.8,478,0.24267782426778242,-1913.520000000006,-382704.00000000116,-4.003179916318004,-2563.9200000000073,0.8720994585923397,267,211,0.7,40,0.8
gap0.35_sl60_tp1.2,675,0.31703703703703706,-1935.4800000000014,-387096.0000000003,-2.86737777777778,-3171.0999999999985,0.9287404734729943,368,307,0.35,60,1.2
gap0.5_sl30_tp1.6,596,0.18120805369127516,-2217.880000000001,-443576.00000000023,-3.7212751677852367,-2218.880000000001,0.8564014244091939,333,263,0.5,30,1.6
gap0.2_sl40_tp1.6,793,0.2408575031525851,-2278.2400000000016,-455648.00000000035,-2.872938209331654,-2627.040000000001,0.9084014152460598,434,359,0.2,40,1.6
gap0.7_sl60_tp0.8,478,0.32217573221757323,-2308.0000000000164,-461600.00000000326,-4.828451882845223,-3642.2400000000143,0.8794463306346297,267,211,0.7,60,0.8
gap0.2_sl60_tp1.6,793,0.3114754098360656,-2450.920000000002,-490184.00000000035,-3.090693568726358,-3346.040000000001,0.9238229626406415,434,359,0.2,60,1.6
gap0.5_sl30_tp1.2,596,0.18120805369127516,-2535.480000000003,-507096.00000000064,-4.254161073825509,-2518.640000000003,0.8358381353188732,333,263,0.5,30,1.2
gap0.7_sl30_tp1.2,478,0.17364016736401675,-2725.9000000000033,-545180.0000000007,-5.702719665271974,-2693.9000000000033,0.7817009690077679,267,211,0.7,30,1.2
gap0.7_sl30_tp1.6,478,0.17364016736401675,-2747.040000000001,-549408.0000000002,-5.746945606694562,-2715.040000000001,0.7800080083286617,267,211,0.7,30,1.6
gap0.35_sl40_tp0.8,675,0.24888888888888888,-2796.2400000000034,-559248.0000000007,-4.142577777777783,-3638.1600000000017,0.8669154252534385,368,307,0.35,40,0.8
gap0.5_sl60_tp0.8,596,0.3271812080536913,-2850.840000000013,-570168.0000000026,-4.783288590604048,-3960.04000000001,0.8798938321536901,333,263,0.5,60,0.8
gap0.35_sl30_tp1.6,675,0.18074074074074073,-2871.2000000000007,-574240.0000000001,-4.25362962962963,-2872.2000000000007,0.8361654778887303,368,307,0.35,30,1.6
gap0.2_sl40_tp1.2,793,0.2408575031525851,-2917.220000000003,-583444.0000000006,-3.6787137452711263,-3177.220000000003,0.882710678674815,434,359,0.2,40,1.2
gap0.7_sl30_tp0.8,478,0.17782426778242677,-3175.480000000003,-635096.0000000007,-6.643263598326366,-3176.0400000000063,0.7451665195409676,267,211,0.7,30,0.8
gap0.35_sl30_tp1.2,675,0.18074074074074073,-3306.5000000000055,-661300.000000001,-4.898518518518527,-3289.6600000000053,0.8113266761768898,368,307,0.35,30,1.2
gap0.5_sl30_tp0.8,596,0.18624161073825504,-3350.1600000000017,-670032.0000000003,-5.621073825503358,-3360.6400000000012,0.7825277507302822,333,263,0.5,30,0.8
gap0.2_sl60_tp1.2,793,0.3114754098360656,-3764.24,-752848.0,-4.746834804539723,-4346.460000000001,0.8830036675576552,434,359,0.2,60,1.2
gap0.2_sl40_tp0.8,793,0.244640605296343,-4048.680000000004,-809736.0000000008,-5.105523329129891,-4504.920000000002,0.8369571520618555,434,359,0.2,40,0.8
gap0.35_sl60_tp0.8,675,0.3214814814814815,-4052.920000000013,-810584.0000000026,-6.0043259259259445,-5227.64000000001,0.8505615574646948,368,307,0.35,60,0.8
gap0.35_sl30_tp0.8,675,0.18518518518518517,-4209.000000000002,-841800.0000000003,-6.235555555555559,-4219.480000000001,0.7592793823277093,368,307,0.35,30,0.8
gap0.2_sl30_tp1.6,793,0.17780580075662042,-4371.880000000001,-874376.0000000002,-5.5130895334174035,-4339.880000000001,0.7885733629944869,434,359,0.2,30,1.6
