date,formula,direction,entry,pnl_pts,reason,held_bars,gap
2024-01-15,01_gap,long,17621.36,-117.22000000000116,time_1330,52,112.08571428571304
2024-01-16,01_gap,short,17415.53,58.36000000000058,time_1330,52,-103.87285714285827
2024-01-18,01_gap,long,17259.65,-35.38000000000466,time_1330,52,80.16857142857043
2024-01-19,01_gap,long,17553.82,204.87999999999738,time_1330,52,353.24999999999636
2024-01-22,01_gap,long,17814.94,1.0200000000040745,time_1330,52,138.2142857142826
2024-01-25,01_gap,long,17975.34,24.30000000000291,time_1330,52,114.3571428571413
2024-01-31,01_gap,short,17972.98,168.72000000000116,time_1330,52,-70.8471428571429
2024-02-02,01_gap,long,18028.42,3.640000000006694,time_1330,52,78.36571428571187
2024-02-15,01_gap,long,18654.11,-4.620000000002619,time_1330,52,615.9200000000019
2024-02-21,01_gap,short,18674.32,-2.0800000000017462,time_1330,52,-66.05857142857349
2024-02-22,01_gap,long,18849.0,11.459999999999127,time_1330,52,195.8857142857123
2024-02-23,01_gap,long,18997.4,-178.58000000000175,time_1330,52,137.0414285714287
2024-03-01,01_gap,long,19028.56,-181.76000000000204,time_1330,52,61.47999999999956
2024-03-04,01_gap,long,19197.89,175.13999999999942,time_1330,52,266.49285714285725
2024-03-05,01_gap,long,19401.16,79.9800000000032,time_1330,52,100.70999999999913
2024-03-06,01_gap,short,19298.18,-244.0,stop,9,-128.19714285714144
2024-03-07,01_gap,long,19742.56,-45.4800000000032,time_1330,52,229.28999999999724
2024-03-08,01_gap,long,19997.59,-244.0,stop,20,368.1342857142881
2024-03-11,01_gap,short,19717.15,27.10000000000582,time_1330,52,-107.46142857142695
2024-03-13,01_gap,long,20090.34,-244.0,stop,5,167.45285714285637
2024-03-15,01_gap,short,19825.96,108.27999999999884,time_1330,52,-124.86714285713606
2024-03-18,01_gap,long,19776.99,188.87999999999738,time_1330,52,87.42285714286118
2024-03-19,01_gap,short,19812.58,-175.5199999999968,time_1330,52,-110.6385714285716
2024-03-21,01_gap,long,20058.93,271.59999999999854,time_1330,52,284.3385714285687
2024-03-26,01_gap,long,20334.9,-244.0,stop,9,102.83142857142593
2024-04-02,01_gap,long,20401.83,101.69999999999709,time_1330,52,173.0871428571445
2024-04-03,01_gap,short,20361.86,-53.15999999999622,time_1330,52,-139.77142857142826
2024-04-08,01_gap,long,20420.29,-4.279999999998836,time_1330,52,83.80428571429002
2024-04-09,01_gap,long,20595.41,418.90000000000146,time_1330,52,169.29714285714363
2024-04-15,01_gap,short,20585.04,177.6600000000035,time_1330,52,-163.40857142857203
2024-04-16,01_gap,short,20270.48,622.8600000000006,time_1330,52,-164.66857142857407
2024-04-17,01_gap,long,20124.25,204.12000000000262,time_1330,52,178.0
2024-04-18,01_gap,short,20068.31,-244.0,stop,11,-126.40571428571639
2024-04-19,01_gap,short,19886.42,799.859999999997,time_1330,52,-401.29142857143233
2024-04-23,01_gap,long,19651.39,-244.0,stop,9,275.130000000001
2024-04-24,01_gap,long,19917.78,464.4400000000023,time_1330,52,316.45000000000437
2024-04-25,01_gap,short,19983.86,206.6800000000003,time_1330,52,-198.04571428571944
2024-04-26,01_gap,long,20161.28,-33.5199999999968,time_1330,52,264.14857142857363
2024-04-29,01_gap,long,20366.2,194.91999999999825,time_1330,52,208.7457142857129
2024-05-03,01_gap,long,20497.96,-244.0,stop,16,254.778571428571
2024-05-06,01_gap,long,20551.89,-5.5,time_1330,52,235.78857142857305
