date,direction,pnl,reason,gap
2024-01-17,-1,184.0,time,-243.0
2024-01-18,-1,-84.0,time,-88.0
2024-01-19,1,270.0,time,316.0
2024-01-22,1,-2.0,time,301.0
2024-01-24,1,-4.0,time,116.0
2024-01-25,1,-46.0,time,90.0
2024-01-26,-1,-100.0,time,-61.0
2024-01-30,1,-100.0,time,111.0
2024-01-31,-1,136.0,time,-125.0
2024-02-01,-1,-64.0,time,-85.0
2024-02-02,1,-36.0,time,202.0
2024-02-05,-1,-160.0,time,-46.0
2024-02-15,1,150.0,time,532.0
2024-02-16,1,-102.0,time,579.0
2024-02-21,1,-130.0,time,99.0
2024-02-22,1,-244.0,stop,131.0
2024-02-23,1,-158.0,time,275.0
2024-02-26,-1,-116.0,time,-96.0
2024-02-29,-1,-244.0,stop,-160.0
2024-03-01,1,-18.0,time,87.0
2024-03-04,1,336.0,time,190.0
2024-03-05,1,50.0,time,238.0
2024-03-06,-1,-244.0,stop,-95.0
2024-03-07,1,38.0,time,421.0
2024-03-08,1,-244.0,stop,235.0
2024-03-11,-1,-244.0,stop,-258.0
2024-03-13,1,-138.0,time,316.0
2024-03-14,-1,-88.0,time,-94.0
2024-03-18,-1,-244.0,stop,-81.0
2024-03-19,1,74.0,time,91.0
2024-03-21,1,428.0,time,191.0
2024-03-22,1,28.0,time,244.0
2024-03-28,1,-244.0,stop,98.0
2024-04-01,1,-244.0,stop,182.0
2024-04-09,1,668.0,time,85.0
2024-04-10,1,54.0,time,317.0
2024-04-11,-1,-98.0,time,-116.0
2024-04-15,-1,68.0,time,-224.0
2024-04-16,-1,829.0,tp1_time,-158.0
2024-04-17,-1,-244.0,stop,-311.0
2024-04-18,1,572.0,time,146.0
2024-04-19,-1,770.0,tp1_time,-179.0
2024-04-22,-1,188.0,time,-378.0
2024-04-24,1,476.0,time,246.0
2024-04-26,1,100.0,time,156.0
2024-04-29,1,400.0,time,220.0
2024-04-30,1,-214.0,time,266.0
2024-05-02,-1,-244.0,stop,-255.0
2024-05-03,1,-244.0,stop,277.0
2024-05-06,1,-244.0,stop,172.0
2024-05-08,-1,-244.0,stop,-125.0
2024-05-13,1,-122.0,time,242.0
2024-05-15,1,106.0,time,309.0
2024-05-16,1,-244.0,stop,295.0
2024-05-17,-1,-70.0,time,-150.0
2024-05-20,1,-244.0,stop,150.0
2024-05-23,1,-244.0,stop,319.0
2024-05-24,-1,-244.0,stop,-101.0
2024-05-27,1,406.0,time,249.0
2024-05-28,1,120.0,time,237.0
2024-05-30,-1,238.0,time,-407.0
2024-06-03,-1,-244.0,stop,-94.0
2024-06-04,1,-244.0,stop,207.0
2024-06-05,-1,-244.0,stop,-209.0
2024-06-06,1,96.0,time,523.0
2024-06-11,1,-244.0,stop,106.0
2024-06-13,1,26.0,time,471.0
2024-06-17,1,90.0,time,160.0
2024-06-18,1,148.0,time,135.0
2024-06-19,1,488.0,time,149.0
2024-06-20,1,446.0,time,206.0
2024-06-21,-1,-244.0,stop,-110.0
2024-06-25,-1,-244.0,stop,-422.0
2024-06-26,1,128.0,time,216.0
2024-06-27,-1,-244.0,stop,-202.0
2024-06-28,1,146.0,time,223.0
2024-07-01,1,58.0,time,102.0
2024-07-02,-1,-244.0,stop,-107.0
2024-07-03,1,220.0,time,156.0
2024-07-04,1,270.0,time,436.0
2024-07-05,1,-244.0,stop,189.0
2024-07-09,1,-244.0,stop,382.0
2024-07-10,-1,-244.0,stop,-109.0
2024-07-11,1,228.0,time,485.0
2024-07-12,-1,456.0,time,-213.0
2024-07-16,-1,-244.0,stop,-213.0
2024-07-17,1,-244.0,stop,229.0
2024-07-18,-1,-244.0,stop,-770.0
2024-07-22,-1,1076.0,tp2,-191.0
2024-07-23,-1,-244.0,stop,-185.0
2024-07-26,-1,-244.0,stop,-692.0
2024-07-29,-1,334.0,time,-290.0
2024-07-30,-1,-244.0,stop,-320.0
2024-08-01,1,-244.0,stop,823.0
2024-08-02,-1,943.0,tp1_time,-687.0
2024-08-05,-1,1076.0,tp2,-1416.0
2024-08-06,-1,-244.0,stop,-702.0
2024-08-07,1,1076.0,tp2,277.0
2024-08-08,1,-244.0,stop,360.0
2024-08-09,1,-244.0,stop,580.0
2024-08-12,1,50.0,time,221.0
2024-08-13,1,-244.0,stop,287.0
2024-08-14,1,-244.0,stop,301.0
2024-08-16,1,82.0,time,370.0
2024-08-21,-1,154.0,time,-273.0
2024-08-23,-1,-244.0,stop,-312.0
2024-08-26,1,-52.0,time,397.0
2024-08-27,-1,-72.0,time,-178.0
2024-08-29,-1,-244.0,stop,-300.0
2024-08-30,1,2.0,time,170.0
2024-09-04,-1,594.0,time,-974.0
2024-09-09,-1,-244.0,stop,-628.0
2024-09-10,1,-244.0,stop,673.0
2024-09-11,-1,186.0,time,-210.0
2024-09-12,1,-244.0,stop,452.0
2024-09-13,1,-244.0,stop,283.0
2024-09-20,1,-244.0,stop,694.0
2024-09-25,1,-90.0,time,517.0
2024-09-26,1,-244.0,stop,209.0
2024-09-27,1,-244.0,stop,251.0
2024-09-30,-1,742.0,time,-512.0
2024-10-01,-1,-244.0,stop,-405.0
2024-10-04,1,-98.0,time,231.0
2024-10-07,1,414.0,time,470.0
2024-10-09,1,-140.0,time,210.0
2024-10-14,1,-244.0,stop,198.0
2024-10-15,1,116.0,time,185.0
2024-10-16,-1,-244.0,stop,-208.0
2024-10-17,1,-244.0,stop,272.0
2024-10-18,1,-244.0,stop,645.0
2024-10-22,-1,-150.0,time,-165.0
2024-10-23,-1,180.0,time,-162.0
2024-10-24,-1,154.0,time,-178.0
2024-10-28,1,-244.0,stop,363.0
2024-10-29,-1,318.0,time,-414.0
2024-11-01,-1,-244.0,stop,-303.0
2024-11-06,1,-244.0,stop,402.0
2024-11-08,1,-244.0,stop,531.0
2024-11-11,-1,-40.0,time,-186.0
2024-11-12,-1,-244.0,stop,-551.0
2024-11-13,-1,-244.0,stop,-359.0
2024-11-20,1,-244.0,stop,325.0
2024-11-21,-1,144.0,time,-211.0
2024-11-25,1,-244.0,stop,453.0
2024-11-26,-1,-244.0,stop,-342.0
2024-11-27,-1,502.0,time,-255.0
2024-11-28,-1,-74.0,time,-349.0
2024-12-02,1,590.0,time,253.0
2024-12-03,1,-244.0,stop,604.0
2024-12-09,-1,-116.0,time,-153.0
2024-12-11,-1,-244.0,stop,-332.0
2024-12-12,1,202.0,time,154.0
2024-12-16,1,-244.0,stop,321.0
2024-12-18,-1,-244.0,stop,-111.0
2024-12-19,-1,-244.0,stop,-214.0
2024-12-23,1,672.0,time,96.0
2024-12-24,1,-244.0,stop,537.0
2024-12-25,-1,18.0,time,-104.0
2024-12-27,-1,-244.0,stop,-133.0
2024-12-31,-1,-90.0,time,-216.0
2025-01-02,-1,182.0,time,-111.0
2025-01-06,1,770.0,time,375.0
2025-01-07,1,-244.0,stop,739.0
2025-01-08,-1,194.0,time,-325.0
2025-01-09,-1,-244.0,stop,-219.0
2025-01-10,-1,64.0,time,-255.0
2025-01-13,-1,901.0,tp1_time,-195.0
2025-01-14,-1,-244.0,stop,-238.0
2025-01-15,1,-244.0,stop,337.0
2025-01-16,1,-102.0,time,391.0
2025-01-17,1,-244.0,stop,304.0
2025-01-21,1,-244.0,stop,181.0
2025-01-22,1,192.0,time,268.0
2025-02-03,-1,-244.0,stop,-894.0
2025-02-04,-1,190.0,time,-883.0
2025-02-05,1,108.0,time,282.0
2025-02-06,1,-244.0,stop,273.0
2025-02-11,1,-116.0,time,145.0
2025-02-18,1,138.0,time,272.0
2025-02-25,-1,-140.0,time,-257.0
2025-02-26,-1,-244.0,stop,-119.0
2025-02-27,1,-244.0,stop,247.0
2025-03-03,-1,-244.0,stop,-766.0
2025-03-04,-1,-244.0,stop,-368.0
2025-03-05,1,454.0,time,466.0
2025-03-06,1,-244.0,stop,439.0
2025-03-07,-1,-244.0,stop,-504.0
2025-03-11,-1,-244.0,stop,-698.0
2025-03-13,1,-244.0,stop,427.0
2025-03-14,-1,314.0,time,-266.0
2025-03-17,1,-10.0,time,159.0
2025-03-18,1,-244.0,stop,159.0
2025-03-19,-1,416.0,time,-141.0
2025-03-21,1,-244.0,stop,153.0
2025-03-25,1,-244.0,stop,129.0
2025-03-27,-1,122.0,time,-338.0
2025-03-28,-1,290.0,time,-295.0
2025-03-31,-1,-244.0,stop,-971.0
2025-04-01,-1,-244.0,stop,-141.0
2025-04-02,1,58.0,time,185.0
2025-04-07,-1,-4.0,time,-2167.0
2025-04-08,-1,-244.0,stop,-2263.0
2025-04-09,-1,-244.0,stop,-560.0
2025-04-10,1,-4.0,time,852.0
2025-04-11,-1,-244.0,stop,-342.0
2025-04-14,1,-244.0,stop,962.0
2025-04-17,-1,-244.0,stop,-575.0
2025-04-18,1,-104.0,time,232.0
2025-04-22,-1,292.0,time,-423.0
2025-04-23,1,604.0,time,380.0
2025-04-24,1,-244.0,stop,580.0
2025-04-25,1,-244.0,stop,332.0
2025-05-02,1,374.0,time,334.0
2025-05-05,1,-244.0,stop,327.0
2025-05-06,-1,-244.0,stop,-690.0
2025-05-07,1,-244.0,stop,242.0
2025-05-08,1,196.0,time,228.0
2025-05-09,1,394.0,time,137.0
2025-05-12,1,98.0,time,335.0
2025-05-13,1,-244.0,stop,627.0
2025-05-14,1,178.0,time,192.0
2025-05-15,1,-168.0,time,99.0
2025-05-19,-1,288.0,time,-188.0
2025-05-20,-1,420.0,time,-165.0
2025-05-21,-1,-244.0,stop,-278.0
2025-05-22,-1,-80.0,time,-110.0
2025-05-27,1,-244.0,stop,153.0
2025-05-29,1,-244.0,stop,109.0
2025-06-02,-1,216.0,time,-339.0
2025-06-04,1,400.0,time,198.0
2025-06-05,1,-76.0,time,372.0
2025-06-09,1,124.0,time,133.0
2025-06-10,1,464.0,time,219.0
2025-06-11,1,106.0,time,450.0
2025-06-13,-1,-244.0,stop,-399.0
2025-06-16,-1,-4.0,time,-623.0
2025-06-17,-1,30.0,time,-190.0
2025-06-18,-1,-244.0,stop,-507.0
2025-06-19,-1,228.0,time,-250.0
2025-06-20,-1,-40.0,time,-218.0
2025-06-23,-1,-244.0,stop,-222.0
2025-06-24,1,374.0,time,310.0
2025-06-25,1,-244.0,stop,526.0
2025-07-02,1,192.0,time,138.0
2025-07-03,1,210.0,time,275.0
2025-07-04,1,-244.0,stop,169.0
2025-07-07,-1,-244.0,stop,-444.0
2025-07-10,1,278.0,time,202.0
2025-07-14,1,-244.0,stop,87.0
2025-07-15,-1,-244.0,stop,-255.0
2025-07-16,1,428.0,time,144.0
2025-07-17,1,376.0,time,92.0
2025-07-18,1,-244.0,stop,386.0
2025-07-21,-1,8.0,time,-140.0
2025-07-23,-1,-244.0,stop,-247.0
2025-07-24,1,-244.0,stop,413.0
2025-07-28,1,44.0,time,108.0
2025-07-30,-1,-244.0,stop,-104.0
2025-07-31,1,-244.0,stop,304.0
2025-08-01,-1,-244.0,stop,-353.0
