date,formula,direction,entry,pnl_pts,reason,held_bars,gap
2024-01-15,01_gap,long,17621.36,-52.0,stop,6,112.08571428571304
2024-01-16,01_gap,short,17415.53,29.18000000000029,time_1330,52,-103.87285714285827
2024-01-18,01_gap,long,17259.65,-52.0,stop,6,80.16857142857043
2024-01-19,01_gap,long,17553.82,-52.0,stop,4,353.24999999999636
2024-01-22,01_gap,long,17814.94,0.5100000000020373,time_1330,52,138.2142857142826
2024-01-25,01_gap,long,17975.34,12.150000000001455,time_1330,52,114.3571428571413
2024-01-31,01_gap,short,17972.98,84.36000000000058,time_1330,52,-70.8471428571429
2024-02-02,01_gap,long,18028.42,1.820000000003347,time_1330,52,78.36571428571187
2024-02-15,01_gap,long,18654.11,-52.0,stop,1,615.9200000000019
2024-02-21,01_gap,short,18674.32,-52.0,stop,24,-66.05857142857349
2024-02-22,01_gap,long,18849.0,-52.0,stop,12,195.8857142857123
2024-02-23,01_gap,long,18997.4,-52.0,stop,1,137.0414285714287
2024-03-01,01_gap,long,19028.56,-52.0,stop,3,61.47999999999956
2024-03-04,01_gap,long,19197.89,87.56999999999971,time_1330,52,266.49285714285725
2024-03-05,01_gap,long,19401.16,-52.0,stop,3,100.70999999999913
2024-03-06,01_gap,short,19298.18,-52.0,stop,2,-128.19714285714144
2024-03-07,01_gap,long,19742.56,-52.0,stop,6,229.28999999999724
2024-03-08,01_gap,long,19997.59,-52.0,stop,10,368.1342857142881
2024-03-11,01_gap,short,19717.15,-52.0,stop,2,-107.46142857142695
2024-03-13,01_gap,long,20090.34,-52.0,stop,1,167.45285714285637
2024-03-15,01_gap,short,19825.96,-52.0,stop,1,-124.86714285713606
2024-03-18,01_gap,long,19776.99,94.43999999999869,time_1330,52,87.42285714286118
2024-03-19,01_gap,short,19812.58,-52.0,stop,14,-110.6385714285716
2024-03-21,01_gap,long,20058.93,135.79999999999927,time_1330,52,284.3385714285687
2024-03-26,01_gap,long,20334.9,-52.0,stop,7,102.83142857142593
2024-04-02,01_gap,long,20401.83,50.849999999998545,time_1330,52,173.0871428571445
2024-04-03,01_gap,short,20361.86,-26.57999999999811,time_1330,52,-139.77142857142826
2024-04-08,01_gap,long,20420.29,-2.139999999999418,time_1330,52,83.80428571429002
2024-04-09,01_gap,long,20595.41,148.0,tp,21,169.29714285714363
2024-04-15,01_gap,short,20585.04,88.83000000000175,time_1330,52,-163.40857142857203
2024-04-16,01_gap,short,20270.48,148.0,tp,2,-164.66857142857407
2024-04-17,01_gap,long,20124.25,-52.0,stop,1,178.0
2024-04-18,01_gap,short,20068.31,-52.0,stop,1,-126.40571428571639
2024-04-19,01_gap,short,19886.42,148.0,tp,5,-401.29142857143233
2024-04-23,01_gap,long,19651.39,-52.0,stop,2,275.130000000001
2024-04-24,01_gap,long,19917.78,148.0,tp,10,316.45000000000437
2024-04-25,01_gap,short,19983.86,103.34000000000015,time_1330,52,-198.04571428571944
