date,formula,direction,entry,pnl_pts,reason,held_bars,key
2024-01-04,02_cross,long,17557.51,-27.68999999999869,time_1330,45,17550.0
2024-01-05,02_cross,short,17525.18,15.4900000000016,time_1330,40,17535.0
2024-01-08,02_cross,long,17623.08,-41.38000000000102,time_1330,52,17540.0
2024-01-09,02_cross,long,17652.1,-52.0,stop,9,17595.0
2024-01-11,02_cross,long,17511.88,49.30999999999767,time_1330,52,17485.0
2024-01-12,02_cross,short,17494.82,-52.0,stop,16,17495.0
2024-01-15,02_cross,long,17621.36,-52.0,stop,6,17520.0
2024-01-18,02_cross,long,17195.0,46.95999999999913,time_1330,44,17195.0
2024-01-26,02_cross,long,17990.0,-9.25,time_1330,52,17990.0
2024-01-29,02_cross,long,18021.0,80.65999999999985,time_1330,52,18000.0
2024-01-30,02_cross,long,18094.19,-17.299999999999272,time_1330,52,18085.0
2024-02-01,02_cross,long,17909.94,-52.0,stop,5,17895.0
2024-02-05,02_cross,short,18004.88,-52.0,stop,9,18025.0
2024-02-16,02_cross,short,18617.25,-1.2700000000004366,time_1330,38,18625.0
2024-02-19,02_cross,short,18608.8,-52.0,stop,42,18615.0
2024-02-20,02_cross,long,18649.97,58.73999999999796,time_1330,52,18625.0
2024-02-21,02_cross,short,18710.0,34.63999999999942,time_1330,40,18710.0
2024-02-26,02_cross,short,18945.0,-29.330000000001746,time_1330,46,18945.0
2024-02-27,02_cross,short,18911.82,148.0,tp,3,18925.0
2024-02-29,02_cross,short,18856.23,-52.0,stop,37,18860.0
2024-03-05,02_cross,long,19401.16,-52.0,stop,3,19310.0
2024-03-06,02_cross,long,19416.32,93.26000000000204,time_1330,43,19405.0
2024-03-08,02_cross,long,19997.59,-52.0,stop,10,19720.0
2024-03-11,02_cross,short,19717.15,-52.0,stop,2,19765.0
2024-03-12,02_cross,long,19705.0,148.0,tp,21,19705.0
2024-03-13,02_cross,long,19872.18,47.56999999999971,time_1330,10,19870.0
2024-03-14,02_cross,short,19930.0,148.0,tp,2,19930.0
2024-03-15,02_cross,short,19872.3,100.47999999999956,time_1330,50,19880.0
2024-03-18,02_cross,short,19757.59,-52.0,stop,19,19790.0
2024-03-19,02_cross,long,19815.02,81.31999999999971,time_1330,50,19800.0
2024-03-20,02_cross,long,19956.93,-52.0,stop,5,19885.0
2024-03-22,02_cross,long,20150.0,-52.0,stop,13,20150.0
2024-03-26,02_cross,short,20220.8,-52.0,stop,5,20250.0
2024-03-27,02_cross,short,20123.88,-52.0,stop,4,20145.0
2024-03-28,02_cross,long,20175.0,-52.0,stop,3,20175.0
2024-03-29,02_cross,long,20225.59,-52.0,stop,3,20150.0
2024-04-01,02_cross,long,20241.75,-26.169999999998254,time_1330,22,20240.0
2024-04-08,02_cross,long,20391.24,26.909999999999854,time_1330,51,20380.0
2024-04-10,02_cross,long,20840.36,-52.0,stop,1,20805.0
2024-04-18,02_cross,short,20068.31,-52.0,stop,1,20205.0
2024-04-22,02_cross,long,19628.46,-52.0,stop,4,19605.0
2024-04-23,02_cross,long,19651.39,-52.0,stop,2,19430.0
2024-04-24,02_cross,long,19917.78,148.0,tp,10,19620.0
2024-04-26,02_cross,long,20161.28,-16.7599999999984,time_1330,52,19885.0
2024-04-30,02_cross,long,20465.0,44.02000000000044,time_1330,51,20465.0
2024-05-07,02_cross,long,20646.44,-52.0,stop,2,20550.0
2024-05-08,02_cross,long,20555.91,93.18999999999869,time_1330,48,20555.0
2024-05-09,02_cross,long,20670.5,-52.0,stop,32,20660.0
2024-05-10,02_cross,short,20670.0,-52.0,stop,43,20670.0
2024-05-14,02_cross,long,20880.19,-52.0,stop,2,20860.0
2024-05-16,02_cross,long,21276.54,8.290000000000873,time_1330,2,21250.0
2024-05-17,02_cross,short,21260.07,-52.0,stop,3,21290.0
2024-05-20,02_cross,long,21264.8,-52.0,stop,27,21250.0
2024-05-21,02_cross,long,21280.53,-52.0,stop,3,21265.0
2024-05-23,02_cross,long,21500.0,98.41999999999825,time_1330,49,21500.0
2024-05-27,02_cross,long,21770.26,31.140000000003056,time_1330,52,21570.0
2024-05-29,02_cross,short,21880.0,148.0,tp,7,21880.0
2024-05-31,02_cross,short,21451.25,-52.0,stop,3,21475.0
2024-06-03,02_cross,long,21428.65,148.0,tp,9,21375.0
2024-06-05,02_cross,long,21391.8,-52.0,stop,2,21375.0
2024-06-07,02_cross,short,21910.0,39.95000000000073,time_1330,49,21910.0
2024-06-11,02_cross,long,21918.62,-52.0,stop,28,21860.0
2024-06-14,02_cross,short,22284.18,-52.0,stop,5,22290.0
2024-06-18,02_cross,long,22782.29,-52.0,stop,3,22515.0
2024-06-21,02_cross,short,23186.49,-52.0,stop,7,23245.0
2024-06-25,02_cross,short,22840.0,1.7099999999991269,time_1330,2,22840.0
2024-07-01,02_cross,short,23056.16,-52.0,stop,5,23080.0
2024-07-03,02_cross,long,23067.04,-52.0,stop,3,22895.0
2024-07-08,02_cross,long,23555.29,148.0,tp,1,23550.0
2024-07-09,02_cross,long,23915.0,148.0,tp,3,23915.0
2024-07-10,02_cross,long,23893.17,104.39000000000306,time_1330,37,23865.0
2024-07-15,02_cross,short,23870.0,-52.0,stop,3,23870.0
2024-07-17,02_cross,short,23905.0,-52.0,stop,3,23905.0
2024-07-30,02_cross,short,22245.0,26.790000000000873,time_1330,3,22245.0
2024-08-06,02_cross,short,20110.0,148.0,tp,1,20110.0
2024-08-09,02_cross,long,21440.66,-52.0,stop,1,20890.0
2024-08-12,02_cross,long,21716.15,148.0,tp,6,21480.0
2024-08-13,02_cross,short,21790.0,-52.0,stop,7,21790.0
2024-08-15,02_cross,long,22020.0,-52.0,stop,4,22020.0
2024-08-20,02_cross,long,22520.33,-52.0,stop,5,22410.0
2024-08-22,02_cross,long,22308.95,-52.0,stop,1,22260.0
2024-08-23,02_cross,short,22047.69,-52.0,stop,35,22140.0
2024-08-29,02_cross,long,22172.03,60.470000000001164,time_1330,30,22170.0
2024-09-02,02_cross,long,22406.56,-52.0,stop,1,22270.0
2024-09-03,02_cross,short,22265.0,148.0,tp,21,22265.0
2024-09-05,02_cross,long,21222.71,-52.0,stop,3,21215.0
2024-09-06,02_cross,long,21411.21,-52.0,stop,9,21405.0
2024-09-10,02_cross,long,21005.0,81.5,time_1330,9,21005.0
2024-09-12,02_cross,long,21505.84,-52.0,stop,2,21060.0
2024-09-13,02_cross,long,21650.32,76.5,time_1330,32,21645.0
2024-09-18,02_cross,short,21760.05,-52.0,stop,8,21840.0
2024-09-19,02_cross,long,21809.08,148.0,tp,21,21765.0
2024-09-23,02_cross,long,22222.75,8.159999999999854,time_1330,52,22180.0
2024-09-24,02_cross,short,22219.72,-52.0,stop,21,22240.0
2024-09-27,02_cross,long,22850.0,-2.1599999999998545,time_1330,16,22850.0
2024-10-04,02_cross,long,22397.85,-52.0,stop,11,22380.0
2024-10-08,02_cross,short,22569.54,148.0,tp,18,22585.0
2024-10-14,02_cross,short,22815.61,-52.0,stop,1,22940.0
2024-10-17,02_cross,long,23068.52,-52.0,stop,3,23040.0
2024-10-18,02_cross,long,23615.71,-52.0,stop,2,23055.0
2024-10-21,02_cross,short,23603.38,-52.0,stop,28,23605.0
2024-10-23,02_cross,short,23401.53,-52.0,stop,4,23420.0
2024-10-24,02_cross,short,23370.0,-52.0,stop,3,23370.0
2024-10-25,02_cross,short,23355.0,7.540000000000873,time_1330,52,23355.0
2024-10-28,02_cross,long,23327.92,-52.0,stop,2,23320.0
2024-10-30,02_cross,short,22822.65,-52.0,stop,6,22825.0
2024-11-05,02_cross,long,22913.29,148.0,tp,6,22905.0
2024-11-08,02_cross,long,23640.73,-52.0,stop,5,23420.0
2024-11-19,02_cross,long,22699.37,-52.0,stop,1,22570.0
2024-11-20,02_cross,long,22845.0,-52.0,stop,24,22845.0
2024-11-22,02_cross,long,22885.03,74.88999999999942,time_1330,52,22580.0
2024-11-29,02_cross,short,22063.35,-52.0,stop,1,22270.0
2024-12-02,02_cross,long,22614.21,148.0,tp,17,22265.0
2024-12-03,02_cross,long,23033.18,-52.0,stop,22,22755.0
2024-12-04,02_cross,long,23143.11,-52.0,stop,1,23035.0
2024-12-06,02_cross,long,23310.0,-52.0,stop,7,23310.0
2024-12-09,02_cross,long,23241.62,-52.0,stop,31,23235.0
2024-12-10,02_cross,short,23225.0,148.0,tp,23,23225.0
2024-12-11,02_cross,short,22906.42,-52.0,stop,1,23100.0
2024-12-12,02_cross,long,23126.4,-52.0,stop,12,22920.0
2024-12-16,02_cross,long,23219.44,-52.0,stop,2,23050.0
2024-12-17,02_cross,long,23190.0,-52.0,stop,8,23190.0
2024-12-18,02_cross,short,23048.78,-52.0,stop,2,23090.0
2024-12-20,02_cross,short,22834.75,148.0,tp,26,22845.0
2024-12-25,02_cross,short,23240.2,-40.61999999999898,time_1330,50,23245.0
2024-12-26,02_cross,long,23267.35,-17.139999999999418,time_1330,52,23235.0
2024-12-27,02_cross,long,23270.0,6.150000000001455,time_1330,52,23270.0
2024-12-30,02_cross,short,23280.0,-52.0,stop,8,23280.0
2025-01-02,02_cross,long,23015.0,-52.0,stop,4,23015.0
2025-01-03,02_cross,long,23033.57,-52.0,stop,6,22845.0
2025-01-15,02_cross,long,22715.0,-52.0,stop,1,22715.0
2025-01-17,02_cross,short,22955.76,-52.0,stop,6,22995.0
2025-01-21,02_cross,short,23239.18,-52.0,stop,1,23280.0
2025-02-07,02_cross,long,23342.03,-52.0,stop,1,23270.0
2025-02-12,02_cross,long,23370.0,-52.0,stop,12,23370.0
2025-02-13,02_cross,short,23340.51,-52.0,stop,7,23385.0
2025-02-18,02_cross,long,23503.54,53.93000000000029,time_1330,51,23465.0
2025-02-21,02_cross,short,23500.98,-52.0,stop,2,23525.0
2025-02-26,02_cross,short,23239.8,-52.0,stop,3,23285.0
2025-03-04,02_cross,short,22647.63,-52.0,stop,1,22685.0
2025-03-06,02_cross,long,22911.7,-52.0,stop,5,22875.0
2025-03-10,02_cross,short,22491.57,-52.0,stop,17,22590.0
2025-03-13,02_cross,short,22209.77,148.0,tp,15,22230.0
2025-03-18,02_cross,short,22208.4,-52.0,stop,24,22210.0
2025-03-19,02_cross,short,22228.6,148.0,tp,36,22245.0
2025-03-20,02_cross,long,22261.75,92.70000000000073,time_1330,52,21975.0
2025-03-21,02_cross,short,22228.77,-52.0,stop,15,22250.0
2025-03-24,02_cross,long,22270.1,-52.0,stop,5,22270.0
2025-03-26,02_cross,long,22375.2,-52.0,stop,4,22275.0
2025-04-07,02_cross,short,19227.69,-2.3400000000001455,time_1330,52,21295.0
2025-04-08,02_cross,short,18436.01,-52.0,stop,3,19230.0
2025-04-10,02_cross,long,19006.85,-0.31999999999970896,time_1330,52,17410.0
2025-04-11,02_cross,short,18952.08,-52.0,stop,1,19015.0
2025-04-15,02_cross,long,19775.49,95.29999999999927,time_1330,39,19755.0
2025-04-16,02_cross,short,19655.22,-52.0,stop,7,19840.0
2025-04-18,02_cross,long,19401.04,3.1199999999989814,time_1330,50,19385.0
2025-04-24,02_cross,short,19518.3,49.68999999999869,time_1330,31,19520.0
2025-05-05,02_cross,short,20593.27,148.0,tp,2,20605.0
2025-05-06,02_cross,short,20521.77,-52.0,stop,7,20555.0
2025-05-07,02_cross,long,20586.25,-52.0,stop,2,20575.0
2025-05-09,02_cross,long,20720.8,-52.0,stop,4,20710.0
2025-05-16,02_cross,short,21740.0,-52.0,stop,5,21740.0
2025-05-20,02_cross,long,21687.84,-52.0,stop,10,21685.0
2025-05-21,02_cross,long,21655.07,148.0,tp,47,21535.0
