date,formula,direction,entry,pnl_pts,reason,held_bars
2024-01-02,03_resonance,short,17898.94,81.89999999999782,time_1330,52
2024-01-04,03_resonance,short,17532.99,-52.0,stop,7
2024-01-05,03_resonance,long,17551.41,-52.0,stop,28
2024-01-08,03_resonance,long,17601.07,-19.36999999999898,time_1330,12
2024-01-09,03_resonance,long,17570.35,-27.899999999997817,time_1330,29
2024-01-10,03_resonance,short,17479.6,-3.640000000003056,time_1330,3
2024-01-11,03_resonance,long,17501.65,59.539999999997235,time_1330,41
2024-01-12,03_resonance,long,17532.73,-8.119999999998981,time_1330,43
2024-01-15,03_resonance,long,17589.16,-26.409999999999854,time_1330,36
2024-01-16,03_resonance,short,17399.94,13.590000000000146,time_1330,12
2024-01-17,03_resonance,short,17191.36,12.220000000001164,time_1330,17
2024-01-18,03_resonance,short,17196.16,-52.0,stop,22
2024-01-22,03_resonance,long,17814.45,1.0,time_1330,1
2024-01-23,03_resonance,short,17829.11,-48.970000000001164,time_1330,44
2024-01-24,03_resonance,short,17916.24,51.330000000001746,time_1330,40
2024-01-25,03_resonance,short,17970.71,-20.780000000002474,time_1330,33
2024-01-26,03_resonance,short,17998.82,14.069999999999709,time_1330,44
2024-01-29,03_resonance,long,18100.92,0.7400000000016007,time_1330,5
2024-01-30,03_resonance,long,18124.75,-52.0,stop,10
2024-02-01,03_resonance,short,17855.99,-52.0,stop,34
2024-02-02,03_resonance,long,18059.93,-2.0,time_eod,1
2024-02-05,03_resonance,long,18048.68,57.63000000000102,time_1330,45
2024-02-16,03_resonance,long,18685.48,-52.0,stop,12
2024-02-19,03_resonance,short,18596.79,-52.0,stop,24
2024-02-20,03_resonance,short,18708.28,-4.430000000000291,time_1330,40
2024-02-21,03_resonance,short,18702.7,27.340000000000146,time_1330,20
2024-02-22,03_resonance,long,18820.92,33.81000000000131,time_1330,21
2024-02-23,03_resonance,long,18986.98,-52.0,stop,13
2024-02-26,03_resonance,short,18904.94,-52.0,stop,30
2024-02-27,03_resonance,short,18982.53,148.0,tp,5
2024-02-29,03_resonance,short,18837.89,-52.0,stop,7
2024-03-01,03_resonance,long,18952.13,-14.450000000000728,time_1330,7
2024-03-05,03_resonance,long,19441.34,-0.18999999999869033,time_1330,21
