date,formula,direction,entry,exit,pnl_pts,reason,gap,avg_amp
2022-03-01,01_瞬間決策_延續,long,17756.0,17716.0,-42.0,stop,115.0,199.45
2022-03-03,01_瞬間決策_延續,long,17942.0,17902.0,-42.0,stop,186.0,187.05
2022-03-04,01_瞬間決策_延續,short,17608.0,17648.0,-42.0,stop,-323.0,189.3
2022-03-07,01_瞬間決策_延續,short,17362.0,17402.0,-42.0,stop,-425.0,199.5
2022-03-08,01_瞬間決策_延續,short,16840.0,16880.0,-42.0,stop,-721.0,207.3
2022-03-09,01_瞬間決策_延續,long,16890.0,16946.0,54.0,time,170.0,208.95
2022-03-10,01_瞬間決策_延續,long,17301.0,17437.0,134.0,time,457.0,212.35
2022-03-11,01_瞬間決策_延續,long,17372.0,17332.0,-42.0,stop,113.0,212.85
2022-03-16,01_瞬間決策_延續,short,16984.0,16933.0,49.0,time,-169.0,227.7
2022-03-17,01_瞬間決策_延續,long,17339.0,17299.0,-42.0,stop,245.0,232.65
2022-03-18,01_瞬間決策_延續,long,17441.0,17401.0,-42.0,stop,131.0,232.0
2022-03-23,01_瞬間決策_延續,long,17644.0,17702.0,56.0,time,110.0,210.55
2022-03-25,01_瞬間決策_延續,long,17720.0,17680.0,-42.0,stop,142.0,200.85
2022-03-28,01_瞬間決策_延續,short,17512.0,17438.0,72.0,time,-243.0,202.25
2022-03-30,01_瞬間決策_延續,long,17671.0,17741.0,68.0,time,108.0,192.4
2022-04-01,01_瞬間決策_延續,short,17466.0,17506.0,-42.0,stop,-215.0,189.35
2022-04-07,01_瞬間決策_延續,short,17333.0,17373.0,-42.0,stop,-187.0,175.75
2022-04-08,01_瞬間決策_延續,short,17200.0,17240.0,-42.0,stop,-202.0,175.3
2022-04-12,01_瞬間決策_延續,short,16960.0,17000.0,-42.0,stop,-269.0,179.3
2022-04-13,01_瞬間決策_延續,long,17080.0,17298.16,216.15999999999985,target,113.0,181.8
2022-04-14,01_瞬間決策_延續,long,17349.0,17309.0,-42.0,stop,317.0,169.15
2022-04-15,01_瞬間決策_延續,short,17102.0,16983.0,117.0,time,-228.0,164.05
2022-04-18,01_瞬間決策_延續,short,16908.0,16948.0,-42.0,stop,-223.0,162.75
2022-04-21,01_瞬間決策_延續,long,17180.0,17140.0,-42.0,stop,78.0,163.55
2022-04-22,01_瞬間決策_延續,short,16862.0,16902.0,-42.0,stop,-288.0,166.1
2022-04-25,01_瞬間決策_延續,short,16686.0,16726.0,-42.0,stop,-267.0,170.45
2022-04-27,01_瞬間決策_延續,short,16221.0,16261.0,-42.0,stop,-437.0,168.55
2022-04-28,01_瞬間決策_延續,long,16317.0,16277.0,-42.0,stop,112.0,173.7
2022-04-29,01_瞬間決策_延續,long,16555.0,16515.0,-42.0,stop,259.0,175.85
2022-05-03,01_瞬間決策_延續,short,16487.0,16527.0,-42.0,stop,-103.0,175.1
2022-05-04,01_瞬間決策_延續,long,16505.0,16519.0,12.0,time,103.0,172.45
2022-05-05,01_瞬間決策_延續,long,16753.0,16713.0,-42.0,stop,286.0,169.95
2022-05-06,01_瞬間決策_延續,short,16310.0,16350.0,-42.0,stop,-440.0,162.45
2022-05-09,01_瞬間決策_延續,short,16156.0,16027.0,127.0,time,-195.0,163.95
2022-05-10,01_瞬間決策_延續,short,15809.0,15849.0,-42.0,stop,-506.0,163.6
2022-05-11,01_瞬間決策_延續,long,15989.0,15949.0,-42.0,stop,136.0,163.05
2022-05-12,01_瞬間決策_延續,short,15801.0,15841.0,-42.0,stop,-166.0,164.65
2022-05-16,01_瞬間決策_延續,long,15996.0,15956.0,-42.0,stop,313.0,167.15
2022-05-17,01_瞬間決策_延續,short,15916.0,15956.0,-42.0,stop,-80.0,164.45
2022-05-18,01_瞬間決策_延續,long,16138.0,16196.0,56.0,time,219.0,164.2
2022-05-19,01_瞬間決策_延續,short,15871.0,15911.0,-42.0,stop,-313.0,164.9
2022-05-20,01_瞬間決策_延續,long,16069.0,16029.0,-42.0,stop,167.0,164.9
2022-05-23,01_瞬間決策_延續,long,16220.0,16180.0,-42.0,stop,221.0,165.45
2022-05-25,01_瞬間決策_延續,short,15996.0,16036.0,-42.0,stop,-242.0,168.65
2022-05-26,01_瞬間決策_延續,long,16153.0,16113.0,-42.0,stop,168.0,172.25
2022-05-30,01_瞬間決策_延續,long,16400.0,16560.0,158.0,time,260.0,172.35
2022-05-31,01_瞬間決策_延續,long,16492.0,16706.02,212.02000000000044,target,114.0,178.35
2022-06-01,01_瞬間決策_延續,long,16647.0,16607.0,-42.0,stop,137.0,181.5
2022-06-07,01_瞬間決策_延續,short,16520.0,16462.0,56.0,time,-163.0,181.5
2022-06-10,01_瞬間決策_延續,short,16380.0,16420.0,-42.0,stop,-188.0,161.9
2022-06-13,01_瞬間決策_延續,short,16115.0,16053.0,60.0,time,-292.0,162.7
2022-06-14,01_瞬間決策_延續,short,15500.0,15540.0,-42.0,stop,-760.0,162.85
2022-06-15,01_瞬間決策_延續,short,15600.0,15546.0,52.0,time,-227.0,163.0
2022-06-16,01_瞬間決策_延續,short,15751.0,15791.0,-42.0,stop,-303.0,177.9
2022-06-17,01_瞬間決策_延續,short,15196.0,15236.0,-42.0,stop,-499.0,178.8
2022-06-22,01_瞬間決策_延續,long,15316.0,15276.0,-42.0,stop,154.0,193.1
2022-06-23,01_瞬間決策_延續,short,15059.0,15099.0,-42.0,stop,-340.0,201.25
2022-06-24,01_瞬間決策_延續,short,15006.0,15046.0,-42.0,stop,-87.0,197.6
2022-06-27,01_瞬間決策_延續,long,15205.0,15277.0,70.0,time,207.0,200.3
2022-06-28,01_瞬間決策_延續,long,15299.0,15259.0,-42.0,stop,90.0,201.05
2022-06-29,01_瞬間決策_延續,short,15020.0,15060.0,-42.0,stop,-238.0,194.95
2022-06-30,01_瞬間決策_延續,short,14931.0,14686.74,242.26000000000022,target,-123.0,203.55
2022-07-01,01_瞬間決策_延續,short,14656.0,14696.0,-42.0,stop,-323.0,226.55
2022-07-04,01_瞬間決策_延續,short,14236.0,14276.0,-42.0,stop,-441.0,231.65
2022-07-05,01_瞬間決策_延續,long,14350.0,14310.0,-42.0,stop,90.0,248.15
2022-07-07,01_瞬間決策_延續,short,14068.0,14108.0,-42.0,stop,-184.0,279.35
2022-07-08,01_瞬間決策_延續,long,14390.0,14350.0,-42.0,stop,363.0,283.6
2022-07-12,01_瞬間決策_延續,short,14157.0,13914.0,241.0,time,-294.0,297.15
2022-07-15,01_瞬間決策_延續,long,14422.0,14382.0,-42.0,stop,114.0,295.15
2022-07-18,01_瞬間決策_延續,long,14577.0,14537.0,-42.0,stop,107.0,288.45
2022-07-19,01_瞬間決策_延續,short,14429.0,14469.0,-42.0,stop,-143.0,283.6
2022-07-20,01_瞬間決策_延續,long,14717.0,14677.0,-42.0,stop,159.0,275.7
2022-07-21,01_瞬間決策_延續,short,14600.0,14640.0,-42.0,stop,-235.0,268.55
2022-07-22,01_瞬間決策_延續,long,14796.0,14756.0,-42.0,stop,192.0,265.55
2022-07-27,01_瞬間決策_延續,short,14670.0,14710.0,-42.0,stop,-141.0,262.5
2022-07-28,01_瞬間決策_延續,long,14922.0,14882.0,-42.0,stop,282.0,253.9
2022-08-02,01_瞬間決策_延續,short,14767.0,14643.0,122.0,time,-200.0,210.35
2022-08-03,01_瞬間決策_延續,short,14627.0,14667.0,-42.0,stop,-182.0,197.95
2022-08-05,01_瞬間決策_延續,long,14780.0,15006.74,224.73999999999978,target,82.0,188.95
2022-08-08,01_瞬間決策_延續,long,14937.0,14897.0,-42.0,stop,214.0,180.55
2022-08-09,01_瞬間決策_延續,short,14894.0,14934.0,-42.0,stop,-66.0,174.6
2022-08-11,01_瞬間決策_延續,long,15115.0,15183.0,66.0,time,204.0,161.75
2022-08-12,01_瞬間決策_延續,long,15229.0,15272.0,41.0,time,150.0,156.75
2022-08-15,01_瞬間決策_延續,long,15369.0,15329.0,-42.0,stop,133.0,156.3
2022-08-16,01_瞬間決策_延續,short,15339.0,15379.0,-42.0,stop,-56.0,151.7
2022-08-17,01_瞬間決策_延續,short,15335.0,15375.0,-42.0,stop,-75.0,146.25
2022-08-18,01_瞬間決策_延續,short,15250.0,15290.0,-42.0,stop,-168.0,141.4
2022-08-22,01_瞬間決策_延續,short,15171.0,15211.0,-42.0,stop,-161.0,138.65
2022-08-23,01_瞬間決策_延續,short,15059.0,15099.0,-42.0,stop,-166.0,136.1
2022-08-26,01_瞬間決策_延續,long,15271.0,15231.0,-42.0,stop,167.0,129.3
2022-08-29,01_瞬間決策_延續,short,14832.0,14872.0,-42.0,stop,-459.0,129.3
2022-08-30,01_瞬間決策_延續,short,14850.0,14890.0,-42.0,stop,-82.0,127.7
2022-09-02,01_瞬間決策_延續,short,14776.0,14622.7,151.29999999999927,target,-163.0,127.75
2022-09-05,01_瞬間決策_延續,short,14590.0,14630.0,-42.0,stop,-220.0,130.7
2022-09-06,01_瞬間決策_延續,long,14720.0,14680.0,-42.0,stop,155.0,130.85
2022-09-07,01_瞬間決策_延續,short,14445.0,14359.0,84.0,time,-195.0,131.4
2022-09-08,01_瞬間決策_延續,short,14459.0,14499.0,-42.0,stop,-81.0,134.65
2022-09-12,01_瞬間決策_延續,long,14775.0,14735.0,-42.0,stop,286.0,133.85
2022-09-13,01_瞬間決策_延續,long,14884.0,14844.0,-42.0,stop,290.0,132.8
2022-09-14,01_瞬間決策_延續,short,14458.0,14498.0,-42.0,stop,-434.0,139.8
2022-09-15,01_瞬間決策_延續,long,14578.0,14642.0,62.0,time,107.0,144.05
2022-09-16,01_瞬間決策_延續,short,14500.0,14483.0,15.0,time,-128.0,142.1
2022-09-21,01_瞬間決策_延續,short,14460.0,14410.0,48.0,time,-63.0,144.95
2022-09-22,01_瞬間決策_延續,short,14225.0,14242.0,-19.0,time,-260.0,146.4
2022-09-26,01_瞬間決策_延續,short,13916.0,13758.0,156.0,time,-294.0,155.75
2022-09-27,01_瞬間決策_延續,short,13843.0,13818.0,23.0,time,-144.0,155.25
2022-09-29,01_瞬間決策_延續,short,13658.0,13524.0,132.0,time,-133.0,161.95
2022-09-30,01_瞬間決策_延續,short,13356.0,13396.0,-42.0,stop,-314.0,161.6
2022-10-03,01_瞬間決策_延續,short,13248.0,13288.0,-42.0,stop,-76.0,163.15
2022-10-04,01_瞬間決策_延續,long,13530.0,13490.0,-42.0,stop,224.0,161.55
2022-10-05,01_瞬間決策_延續,long,13740.0,13820.0,78.0,time,264.0,158.95
2022-10-06,01_瞬間決策_延續,long,13932.0,13892.0,-42.0,stop,103.0,159.9
2022-10-11,01_瞬間決策_延續,short,13251.0,13291.0,-42.0,stop,-502.0,164.65
2022-10-12,01_瞬間決策_延續,short,13049.0,13089.0,-42.0,stop,-362.0,167.85
2022-10-14,01_瞬間決策_延續,long,13150.0,13110.0,-42.0,stop,99.0,173.05
2022-10-17,01_瞬間決策_延續,short,12964.0,13004.0,-42.0,stop,-193.0,179.35
2022-10-18,01_瞬間決策_延續,long,13141.0,13101.0,-42.0,stop,258.0,180.15
2022-10-20,01_瞬間決策_延續,short,12815.0,12855.0,-42.0,stop,-264.0,193.45
2022-10-24,01_瞬間決策_延續,long,13100.0,13060.0,-42.0,stop,150.0,197.5
2022-10-25,01_瞬間決策_延續,short,12895.0,12935.0,-42.0,stop,-127.0,201.55
2022-10-26,01_瞬間決策_延續,short,12722.0,12762.0,-42.0,stop,-186.0,203.7
2022-10-27,01_瞬間決策_延續,long,12883.0,12956.0,71.0,time,69.0,190.85
2022-11-02,01_瞬間決策_延續,long,13033.0,13083.0,48.0,time,127.0,184.05
2022-11-03,01_瞬間決策_延續,short,12883.0,12923.0,-42.0,stop,-123.0,182.35
2022-11-07,01_瞬間決策_延續,long,13156.0,13116.0,-42.0,stop,263.0,186.35
2022-11-08,01_瞬間決策_延續,long,13312.0,13334.0,20.0,time,126.0,180.15
2022-11-09,01_瞬間決策_延續,long,13467.0,13595.0,126.0,time,177.0,180.65
2022-11-10,01_瞬間決策_延續,long,13543.0,13503.0,-42.0,stop,86.0,171.85
2022-11-11,01_瞬間決策_延續,long,13965.0,13925.0,-42.0,stop,479.0,171.4
2022-11-14,01_瞬間決策_延續,long,14159.0,14119.0,-42.0,stop,195.0,167.75
2022-11-15,01_瞬間決策_延續,short,14150.0,14190.0,-42.0,stop,-62.0,175.9
2022-11-16,01_瞬間決策_延續,long,14537.0,14497.0,-42.0,stop,405.0,175.0
2022-11-17,01_瞬間決策_延續,short,14471.0,14511.0,-42.0,stop,-229.0,171.7
2022-11-18,01_瞬間決策_延續,long,14551.0,14511.0,-42.0,stop,120.0,176.2
2022-11-22,01_瞬間決策_延續,short,14457.0,14497.0,-42.0,stop,-76.0,161.95
2022-11-23,01_瞬間決策_延續,long,14615.0,14575.0,-42.0,stop,177.0,158.45
2022-11-24,01_瞬間決策_延續,long,14690.0,14775.0,83.0,time,82.0,159.8
2022-11-25,01_瞬間決策_延續,long,14769.0,14729.0,-42.0,stop,104.0,156.05
2022-11-28,01_瞬間決策_延續,short,14550.0,14475.0,73.0,time,-237.0,155.75
2022-11-29,01_瞬間決策_延續,short,14470.0,14510.0,-42.0,stop,-159.0,160.05
2022-11-30,01_瞬間決策_延續,long,14640.0,14800.0,158.0,time,220.0,166.6
2022-12-01,01_瞬間決策_延續,long,15030.0,14990.0,-42.0,stop,414.0,169.75
2022-12-02,01_瞬間決策_延續,short,14860.0,14900.0,-42.0,stop,-155.0,166.15
2022-12-07,01_瞬間決策_延續,short,14603.0,14643.0,-42.0,stop,-234.0,173.05
2022-12-14,01_瞬間決策_延續,short,14609.0,14649.0,-42.0,stop,-73.0,167.65
2022-12-15,01_瞬間決策_延續,long,14658.0,14618.0,-42.0,stop,58.0,165.4
2022-12-16,01_瞬間決策_延續,short,14440.0,14480.0,-42.0,stop,-176.0,160.15
2022-12-21,01_瞬間決策_延續,short,14172.0,14212.0,-42.0,stop,-199.0,168.6
2022-12-22,01_瞬間決策_延續,long,14311.0,14377.0,64.0,time,94.0,167.5
2022-12-23,01_瞬間決策_延續,short,14168.0,14208.0,-42.0,stop,-139.0,168.35
2022-12-27,01_瞬間決策_延續,long,14295.0,14303.0,6.0,time,83.0,157.05
2022-12-28,01_瞬間決策_延續,short,14190.0,14110.0,78.0,time,-56.0,152.35
2022-12-29,01_瞬間決策_延續,short,13960.0,14000.0,-42.0,stop,-279.0,149.45
2022-12-30,01_瞬間決策_延續,long,14193.0,14153.0,-42.0,stop,206.0,147.9
2023-01-03,01_瞬間決策_延續,short,14050.0,14090.0,-42.0,stop,-161.0,154.35
2023-01-04,01_瞬間決策_延續,long,14205.0,14208.0,1.0,time,109.0,147.75
2023-01-05,01_瞬間決策_延續,long,14324.0,14284.0,-42.0,stop,142.0,145.25
