date,formula,direction,entry,exit,pnl_pts,reason,gap,avg_amp
2022-03-01,01_瞬間決策_淡化,short,17756.0,17796.0,-42.0,stop,115.0,199.45
2022-03-03,01_瞬間決策_淡化,short,17942.0,17929.0,11.0,time,186.0,187.05
2022-03-04,01_瞬間決策_淡化,long,17608.0,17568.0,-42.0,stop,-323.0,189.3
2022-03-07,01_瞬間決策_淡化,long,17362.0,17322.0,-42.0,stop,-425.0,199.5
2022-03-08,01_瞬間決策_淡化,long,16840.0,16800.0,-42.0,stop,-721.0,207.3
2022-03-09,01_瞬間決策_淡化,short,16890.0,16930.0,-42.0,stop,170.0,208.95
2022-03-10,01_瞬間決策_淡化,short,17301.0,17341.0,-42.0,stop,457.0,212.35
2022-03-11,01_瞬間決策_淡化,short,17372.0,17220.0,150.0,time,113.0,212.85
2022-03-16,01_瞬間決策_淡化,long,16984.0,16944.0,-42.0,stop,-169.0,227.7
2022-03-17,01_瞬間決策_淡化,short,17339.0,17379.0,-42.0,stop,245.0,232.65
2022-03-18,01_瞬間決策_淡化,short,17441.0,17391.0,48.0,time,131.0,232.0
2022-03-23,01_瞬間決策_淡化,short,17644.0,17684.0,-42.0,stop,110.0,210.55
2022-03-25,01_瞬間決策_淡化,short,17720.0,17621.0,97.0,time,142.0,200.85
2022-03-28,01_瞬間決策_淡化,long,17512.0,17472.0,-42.0,stop,-243.0,202.25
2022-03-30,01_瞬間決策_淡化,short,17671.0,17711.0,-42.0,stop,108.0,192.4
2022-04-01,01_瞬間決策_淡化,long,17466.0,17426.0,-42.0,stop,-215.0,189.35
2022-04-07,01_瞬間決策_淡化,long,17333.0,17293.0,-42.0,stop,-187.0,175.75
2022-04-08,01_瞬間決策_淡化,long,17200.0,17316.0,114.0,time,-202.0,175.3
2022-04-12,01_瞬間決策_淡化,long,16960.0,16920.0,-42.0,stop,-269.0,179.3
2022-04-13,01_瞬間決策_淡化,short,17080.0,17120.0,-42.0,stop,113.0,181.8
2022-04-14,01_瞬間決策_淡化,short,17349.0,17298.0,49.0,time,317.0,169.15
2022-04-15,01_瞬間決策_淡化,long,17102.0,17062.0,-42.0,stop,-228.0,164.05
2022-04-18,01_瞬間決策_淡化,long,16908.0,16868.0,-42.0,stop,-223.0,162.75
2022-04-21,01_瞬間決策_淡化,short,17180.0,17220.0,-42.0,stop,78.0,163.55
2022-04-22,01_瞬間決策_淡化,long,16862.0,16992.0,128.0,time,-288.0,166.1
2022-04-25,01_瞬間決策_淡化,long,16686.0,16646.0,-42.0,stop,-267.0,170.45
2022-04-27,01_瞬間決策_淡化,long,16221.0,16181.0,-42.0,stop,-437.0,168.55
2022-04-28,01_瞬間決策_淡化,short,16317.0,16357.0,-42.0,stop,112.0,173.7
