date,formula,direction,entry,exit,pnl_pts,reason,key_line,avg_amp
2022-03-15,02_多空穿越,short,17167.0,16941.75,223.25,target,17220.0,225.25
2022-04-13,02_多空穿越,long,17080.0,17261.8,179.79999999999927,target,17039.0,181.8
2022-04-15,02_多空穿越,short,17102.0,17071.0,29.0,target,17316.0,164.05
2022-04-19,02_多空穿越,long,16983.0,16966.0,-19.0,time,16983.0,161.8
2022-04-27,02_多空穿越,short,16221.0,16261.0,-42.0,stop,16572.0,168.55
2022-05-11,02_多空穿越,short,16027.0,16010.0,15.0,time,16027.0,163.05
2022-05-12,02_多空穿越,short,15801.0,15841.0,-42.0,stop,16039.0,164.65
2022-05-24,02_多空穿越,short,16135.0,16013.0,120.0,target,16135.0,166.25
2022-06-16,02_多空穿越,long,15602.0,15562.0,-42.0,stop,15602.0,177.9
2022-07-05,02_多空穿越,long,14175.0,14135.0,-42.0,stop,14175.0,248.15
2022-07-07,02_多空穿越,long,14231.0,14191.0,-42.0,stop,14231.0,279.35
2022-07-25,02_多空穿越,short,14748.0,14788.0,-42.0,stop,14748.0,263.45
2022-08-04,02_多空穿越,short,14643.0,14683.0,-42.0,stop,14643.0,187.85
2022-08-05,02_多空穿越,long,14780.0,14968.95,186.95000000000073,target,14669.0,188.95
2022-08-17,02_多空穿越,short,15387.0,15379.0,6.0,time,15387.0,146.25
2022-08-18,02_多空穿越,short,15250.0,15290.0,-42.0,stop,15366.0,141.4
2022-08-25,02_多空穿越,long,15130.0,15172.0,40.0,time,15028.0,130.8
2022-09-06,02_多空穿越,short,14597.0,14637.0,-42.0,stop,14597.0,130.85
2022-09-07,02_多空穿越,short,14445.0,14359.0,84.0,time,14611.0,131.4
2022-09-16,02_多空穿越,short,14500.0,14483.0,15.0,time,14577.0,142.1
2022-09-28,02_多空穿越,short,13758.0,13798.0,-42.0,stop,13758.0,165.55
2022-09-30,02_多空穿越,short,13356.0,13396.0,-42.0,stop,13515.0,161.6
2022-10-07,02_多空穿越,short,13781.0,13721.0,58.0,target,13820.0,158.5
2022-10-13,02_多空穿越,short,13032.0,13072.0,-42.0,stop,13091.0,171.95
2022-10-14,02_多空穿越,long,13076.0,13140.0,62.0,target,13076.0,173.05
2022-10-19,02_多空穿越,short,12981.0,13021.0,-42.0,stop,12981.0,185.85
2022-11-03,02_多空穿越,short,12883.0,12923.0,-42.0,stop,13031.0,182.35
2022-11-18,02_多空穿越,short,14497.0,14537.0,-42.0,stop,14497.0,176.2
2022-12-06,02_多空穿越,short,14886.0,14842.0,42.0,target,14886.0,172.5
2022-12-16,02_多空穿越,short,14440.0,14480.0,-42.0,stop,14710.0,160.15
2023-01-05,02_多空穿越,long,14324.0,14284.0,-42.0,stop,14230.0,145.25
2023-01-12,02_多空穿越,long,14808.0,14768.0,-42.0,stop,14808.0,138.25
2023-01-13,02_多空穿越,long,15000.0,14960.0,-42.0,stop,14792.0,140.8
2023-01-30,02_多空穿越,long,15450.0,15410.0,-42.0,stop,14936.0,128.8
2023-02-06,02_多空穿越,short,15504.0,15468.0,34.0,target,15580.0,137.9
2023-02-08,02_多空穿越,long,15475.0,15505.0,28.0,target,15405.0,136.5
2023-02-10,02_多空穿越,short,15596.0,15575.0,19.0,time,15604.0,125.25
2023-02-22,02_多空穿越,short,15353.0,15393.0,-42.0,stop,15522.0,119.8
2023-03-02,02_多空穿越,short,15542.0,15582.0,-42.0,stop,15542.0,132.75
2023-03-03,02_多空穿越,long,15612.0,15572.0,-42.0,stop,15544.0,132.6
2023-03-08,02_多空穿越,short,15774.0,15785.0,-13.0,time,15774.0,131.95
2023-03-10,02_多空穿越,short,15618.0,15483.45,132.54999999999927,target,15785.0,134.55
2023-03-21,02_多空穿越,long,15464.0,15455.0,-11.0,time,15403.0,143.4
2023-04-13,02_多空穿越,short,15865.0,15825.0,38.0,target,15921.0,120.9
2023-04-18,02_多空穿越,short,15911.0,15855.0,54.0,target,15947.0,116.4
2023-04-25,02_多空穿越,short,15615.0,15655.0,-42.0,stop,15615.0,124.4
2023-04-27,02_多空穿越,long,15388.0,15348.0,-42.0,stop,15388.0,126.2
2023-05-03,02_多空穿越,short,15573.0,15552.0,19.0,time,15573.0,120.3
2023-05-10,02_多空穿越,short,15692.0,15609.0,81.0,time,15723.0,121.6
2023-05-15,02_多空穿越,short,15518.0,15510.0,6.0,time,15518.0,125.25
2023-05-16,02_多空穿越,long,15531.0,15559.0,26.0,target,15508.0,127.55
2023-05-23,02_多空穿越,long,16129.0,16089.0,-42.0,stop,16129.0,128.4
2023-05-24,02_多空穿越,short,16055.0,16072.0,-19.0,time,16116.0,118.05
2023-05-31,02_多空穿越,short,16570.0,16543.0,25.0,target,16570.0,117.95
2023-06-02,02_多空穿越,long,16577.0,16598.0,19.0,target,16489.0,118.9
2023-06-06,02_多空穿越,long,16710.0,16738.0,26.0,target,16710.0,121.25
2023-06-15,02_多空穿越,long,17250.0,17274.0,22.0,target,17220.0,115.9
