date,exit_date,formula,direction,entry,exit,pnl_pts,reason
2022-04-08,2022-04-13,03_動態共振,short,17316.0,17316.0,-2.0,protect_150
2022-06-14,2022-06-16,03_動態共振,short,15602.0,15602.0,-2.0,protect_150
2022-10-11,2022-10-24,03_動態共振,short,13091.0,13091.0,-2.0,protect_150
2023-01-09,2023-02-15,03_動態共振,long,14769.0,15361.0,590.0,macd_exit
2023-03-24,2023-03-31,03_動態共振,long,15912.0,15912.0,-2.0,protect_50
2023-05-09,2023-05-11,03_動態共振,long,15739.0,15518.0,-223.0,macd_exit
2023-05-17,2023-06-21,03_動態共振,long,15876.0,17001.0,1123.0,macd_exit
2023-07-14,2023-07-17,03_動態共振,long,17292.0,17292.0,-2.0,protect_50
2023-07-28,2023-07-31,03_動態共振,long,17262.0,17262.0,-2.0,protect_50
2023-09-21,2023-10-06,03_動態共振,short,16309.0,16531.0,-224.0,macd_exit
2023-10-20,2023-11-03,03_動態共振,short,16413.0,16512.0,-101.0,macd_exit
2023-12-15,2023-12-19,03_動態共振,long,17674.0,17562.0,-114.0,macd_exit
2023-12-27,2024-01-03,03_動態共振,long,17857.0,17546.0,-313.0,macd_exit
2024-01-23,2024-03-19,03_動態共振,long,17870.0,19884.0,2012.0,macd_exit
2024-03-22,2024-03-26,03_動態共振,long,20242.0,20242.0,-2.0,protect_150
2024-04-10,2024-04-12,03_動態共振,long,20851.0,20755.0,-98.0,macd_exit
2024-05-06,2024-05-07,03_動態共振,long,20602.0,20602.0,-2.0,protect_150
2024-06-13,2024-06-14,03_動態共振,long,22323.0,22323.0,-2.0,protect_150
2024-07-04,2024-07-08,03_動態共振,long,23624.0,23624.0,-2.0,protect_150
2024-09-04,2024-09-09,03_動態共振,short,20947.0,20947.0,-2.0,protect_150
2024-10-29,2024-11-04,03_動態共振,short,22976.0,22976.0,-2.0,protect_150
2024-11-12,2024-11-14,03_動態共振,short,22869.0,22869.0,-2.0,protect_150
2024-12-20,2024-12-24,03_動態共振,short,22635.0,23270.0,-637.0,stop_swing
2025-01-02,2025-01-06,03_動態共振,short,22842.0,23380.0,-540.0,stop_swing
2025-01-10,2025-01-16,03_動態共振,short,23049.0,23049.0,-2.0,protect_50
2025-02-03,2025-02-06,03_動態共振,short,22598.0,23290.0,-694.0,macd_exit
2025-02-26,2025-02-27,03_動態共振,short,23421.0,23421.0,-2.0,protect_150
2025-03-28,2025-04-18,03_動態共振,short,21603.0,19330.0,2271.0,macd_exit
2025-05-28,2025-06-09,03_動態共振,short,21252.0,21747.0,-497.0,stop_swing
2025-06-30,2025-07-08,03_動態共振,long,22145.0,22145.0,-2.0,protect_150
2025-07-10,2025-07-11,03_動態共振,long,22611.0,22611.0,-2.0,protect_150
2025-08-07,2025-08-11,03_動態共振,long,23997.0,23997.0,-2.0,protect_150
2025-09-09,2025-10-01,03_動態共振,long,24802.0,26045.0,1241.0,macd_exit
2025-10-02,2025-10-03,03_動態共振,long,26431.0,26431.0,-2.0,protect_150
2025-10-27,2025-10-29,03_動態共振,long,28225.0,28225.0,-2.0,protect_150
2025-12-03,2025-12-04,03_動態共振,long,27758.0,27758.0,-2.0,protect_50
2025-12-23,2025-12-24,03_動態共振,long,28413.0,28413.0,-2.0,protect_150
